name,price,status,shipping,free_returns,items_sold
Bear with US Handmade Stuffed Animal Toy Teddy Bear by Dell Rapids,2199,Pre-Owned,0,False,
Build A Bear 14” Teddy Brown Cream Shaggy BABW Plush Stuffed Animal Toy,937,Pre-Owned,0,True,
Build A Bear Teddy Bear Plush Stuffed Animal 15” Brown BABW BAB,799,Pre-Owned,0,True,
Beverly Hills Teddy Bear Company Plush With American Flag Sweater,1399,Pre-Owned,0,False,
Oriental Trading Brown Plushed 6” Teddy Bear With Green Neck Tie,995,Pre-Owned,0,True,
New ListingBeverly Hills Teddy Bear Company Musical ODDBALL 102 Dalmatians w Moving Ears ,1000,Brand New,0,False,
"New Listing8"" 1999 US Open  Golf Teddy Bear  Plush Stuffed Animal",1050,Brand New,0,False,
"New ListingBroose - Russ Berrie 12"" Holiday Plush Teddy Bear Moose Costume NWT",875,Brand New,0,True,
New ListingHOMERBEST Love Bandit Cute Soft Teddy Bear Plush Stuffed Animal Toy,1188,Pre-Owned,0,False,
New ListingMy Tempur-Pedic Mary Meyer Teddy Bear Brown Plush Memory Foam Stuffed Animal 19”,2499,Pre-Owned,0,True,
"New ListingAnico Collectible Plush Toy Teddy Bear Realistic Fur in Sitting Position 22""",4999,Pre-Owned,0,False,
New ListingNWT Cuddle Barn Nutcracker talking plush Bear storyteller Christmas Tested,3499,Brand New,0,False,
"New ListingCircus Circus Las Vegas/Reno Brown Plush Teddy Bear 10""",999,Pre-Owned,0,True,
White Cream Teddy Bear Plush  Back Pouch Bean Bag Lavender Robe 12” Avon,1399,Pre-Owned,0,True,
"4"" Mini Teddy Bear Dark Brown Plush Soft Stuffed Animal Toy Apple Shaped Dress",1499,Pre-Owned,0,False,
Mini Teddy Bear Dark Brown Plush Soft Stuffed Animal Toy,1799,Pre-Owned,0,False,
"15.5"" Brown Teddy Bear Plush Stuffed Soft Animal Toy for Kids",2699,Pre-Owned,0,False,
"7"" Teddy Bear Plush Soft Light Brown Toy Stuffed Animal for Children",1899,Pre-Owned,0,False,
"New ListingNWT! Fuzzy Friends Brown Teddy Bear Plush with bow Stuffed Toy 10"" ",400,Brand New,0,False,
"New Listing8"" 1999 US Open  Golf Teddy Bear  Plush Stuffed Animal",1050,Brand New,0,False,
"New ListingSnowflake 2021 White Teddy Bear Boy 12"" Plush Christmas Blue Sparkle Hat & Tie",1399,Pre-Owned,0,False,
"New ListingBuild A Bear Red Teddy Bear Hugs Kisses Magnetic Paws Heart Nose 17"" Plush Toy",1399,Pre-Owned,0,True,
"New ListingEASTER PEEPS Teddy Bear in Hooded Outfit Plush 12"" Tall Toy Stuffed Blue",1199,Pre-Owned,0,True,
New ListingNabisco Teddy Grahams Teddy Bear Plush 90s Stuffed Animal Singer Honey Gram,2000,Brand New,0,False,
Teddy Bear Dog Plush Stuffed Animal 11'' Brown ,999,Pre-Owned,0,True,
"8.5"" Teddy Bear Plush Stuffed Soft Animal Toy for Kids",1799,Pre-Owned,0,False,
"Gerhardshofen Yodeling Teddy Plush Bear 5”, Tested Works",1299,Brand New,0,False,
Mary Meyer Chicago Teddy Bear Beanbag Plush Stuffed Travel Souvenir CLEAN ,1144,Pre-Owned,0,False,
"GALERIE PLUSH TEDDY BEAR WITH Matching TEDDY RED Heart PAJAMAS TOY 12""",1499,Pre-Owned,0,False,
"Hallmark Christmas White Teddy Bear Plush 12"" Santa Hat Stuffed Animal Snowflake",1500,Pre-Owned,0,True,
"Animal Adventure Brown Teddy Bear Heart 21"" Plush ",1400,Pre-Owned,0,False,
Vintage Ditch Holland Momma & Baby Bear  14” Plush Stuffed animals Tan Teddy,2000,Brand New,0,False,
New ListingSoft  10” Plush pink Teddy Bear Sparkly Stars Stuffed Animal Toy NEW shower gift,1499,Brand New,0,False,
"Goffa My First Friend White Teddy Bear 8"" Stuffed Plush Animal Rattle Toy",1393,Pre-Owned,0,True,
"New ListingVHTF 12"" Beverly Hills Teddy Bear Plush White & Pink PUPPY Dog w/ Rattle (*g5)",519,Pre-Owned,0,True,
New ListingTeddy Bear North American Bear Co. Vintage Stuffed Animal 1979 Red Plush Toy,2000,Pre-Owned,0,False,
Pink Teddy Bear 5”,1299,Brand New,0,True,
New Listing2002 My First Teddy Bear Plush Toy Pink Blue White Dan Dee Soft Stuffed Animal,4249,Pre-Owned,0,True,
Beverly hills teddy bear company teddy bear with flag shirt and tag new,499,Pre-Owned,0,True,
New ListingSt. Patricks Day Teddy Bear Plush Sugar Loaf Green Stuffed Animal with Hat,1759,Brand New,0,False,
Restoration Hardware 15” Luxury Teddy Bear Beige Cream SUPER SOFT Stuffed Plush,900,Pre-Owned,0,False,
FOSSIL TEDDY BEAR 15' plush Brown RED WINTER SNOWFLAKE stuffed animal toy,1900,Pre-Owned,0,False,
"Boston Teddy Bear The Petting Zoo Plush 10"" Soldier Boston Tea Party ",999,Pre-Owned,0,False,
"12"" Teddy Bear and 9"" Floppy Ear Puppy Dog Stuffed Plush - Colorbok & Logo Bear",1299,Pre-Owned,0,False,
Vintage 1980s-1990s Teddy White Bear Plush ,1998,Pre-Owned,0,False,
"Build A Bear Plush - Pink Cuddles Teddy 16""",1050,Pre-Owned,0,False,
Hugfun International Soft Plush Teddy Bear Winter Cute,700,Pre-Owned,0,True,
New ListingCOOL BEACH BALL SURFER DUDE SWIM TRUNKS PLUSH TEDDY BEAR STUFFED ANIMAL TOY,645,Pre-Owned,0,False,
Hobby Lobby holiday Christmas girl teddy bear striped dress Stuffed Animal Toy ,1620,Pre-Owned,0,False,
New ListingLaurel's Attic DanDee Faux suede Sherpa teddy bear,1400,Pre-Owned,0,False,
"Arizona State University ASU Cheerleader Plush Teddy Bear by Chelsea 14"" EUC",2115,Pre-Owned,0,False,
"New ListingBuild A Bear Gem Of A Friend Sapphire Blue Sparkle Teddy Bear 13"" Plush BABW",1212,Pre-Owned,0,True,
"New ListingHallmark Trevor plush tan sitting teddy bear Christmas tree sweater 10"" tall",599,Brand New,0,False,
"New ListingBuild A Bear Velvet Hugs Asthma and Allergy Tan Brown Teddy Bear 13"" Plush BABW",1399,Pre-Owned,0,True,
"Goffa Stuffed Plush Purple spotted Teddy Bear w/ hot pink eyes~NWT 9""~VALENTINES",850,Brand New,0,False,
"Spark Create Imagine Brown Teddy Bear Plush Lovey Rattle 14"" Stuffed Animal",1995,Pre-Owned,0,False,
"New ListingNew York & Co.,Brown Plush Stuffed Teddy Bear Red Velvety Hoodie & Pants, 15"" ",890,Pre-Owned,0,True,
"New ListingBull Fighter Gund Teddy Bear Diego Stuffed Plush Brown Red Cape 14"" ",1954,Pre-Owned,0,False,
GHIRARDELLI TEDDY PLUSH SAN FRANCISCO BEAR STUFFED ANIMAL PROMO ADVERTISEMENT ,999,Pre-Owned,0,False,
"Fiesta Neon Green Teddy Bear Plush Stuffed Animal Toy 17"" high",1200,Pre-Owned,0,False,
Build A Bear 15” Teddy White Shaggy Plush Stuffed Animal Toy Brown Nose,602,Pre-Owned,0,True,
